TPIN,LOCATION,TAX TYPE,Transaction ID,Period From,Period To,Payment Method,Payment Amount,Payment Date
TPIN001,Location1,Sales Tax,TXID00001,31/01/2023,28/02/2023,Bank Transfer,1015.75,31/01/2023
TPIN002,Location2,Income Tax,TXID00002,28/02/2023,31/03/2023,Bank Transfer,1031.5,28/02/2023
TPIN003,Location3,Sales Tax,TXID00003,31/03/2023,30/04/2023,Credit Card,1047.25,31/03/2023
TPIN004,Location4,Income Tax,TXID00004,30/04/2023,31/05/2023,Bank Transfer,1063,30/04/2023
TPIN005,Location5,Sales Tax,TXID00005,31/05/2023,30/06/2023,Bank Transfer,1078.75,31/05/2023
TPIN006,Location6,Income Tax,TXID00006,30/06/2023,31/07/2023,Credit Card,1094.5,30/06/2023
TPIN007,Location7,Sales Tax,TXID00007,31/07/2023,31/08/2023,Bank Transfer,1110.25,31/07/2023
TPIN008,Location8,Income Tax,TXID00008,31/08/2023,30/09/2023,Bank Transfer,1126,31/08/2023
TPIN009,Location9,Sales Tax,TXID00009,30/09/2023,31/10/2023,Credit Card,1141.75,30/09/2023
TPIN010,Location0,Income Tax,TXID00010,31/10/2023,30/11/2023,Bank Transfer,1157.5,31/10/2023
TPIN011,Location1,Sales Tax,TXID00011,30/11/2023,31/12/2023,Bank Transfer,1173.25,30/11/2023
TPIN012,Location2,Income Tax,TXID00012,31/12/2023,31/01/2024,Credit Card,1189,31/12/2023
TPIN013,Location3,Sales Tax,TXID00013,31/01/2024,29/02/2024,Bank Transfer,1204.75,31/01/2024
TPIN014,Location4,Income Tax,TXID00014,29/02/2024,31/03/2024,Bank Transfer,1220.5,29/02/2024
TPIN015,Location5,Sales Tax,TXID00015,31/03/2024,30/04/2024,Credit Card,1236.25,31/03/2024
TPIN016,Location6,Income Tax,TXID00016,30/04/2024,31/05/2024,Bank Transfer,1252,30/04/2024
TPIN017,Location7,Sales Tax,TXID00017,31/05/2024,30/06/2024,Bank Transfer,1267.75,31/05/2024
TPIN018,Location8,Income Tax,TXID00018,30/06/2024,31/07/2024,Credit Card,1283.5,30/06/2024
TPIN019,Location9,Sales Tax,TXID00019,31/07/2024,31/08/2024,Bank Transfer,1299.25,31/07/2024
TPIN020,Location0,Income Tax,TXID00020,31/08/2024,30/09/2024,Bank Transfer,1315,31/08/2024
TPIN021,Location1,Sales Tax,TXID00021,30/09/2024,31/10/2024,Credit Card,1330.75,30/09/2024
TPIN022,Location2,Income Tax,TXID00022,31/10/2024,30/11/2024,Bank Transfer,1346.5,31/10/2024
TPIN023,Location3,Sales Tax,TXID00023,30/11/2024,31/12/2024,Bank Transfer,1362.25,30/11/2024
TPIN024,Location4,Income Tax,TXID00024,31/12/2024,31/01/2025,Credit Card,1378,31/12/2024
TPIN025,Location5,Sales Tax,TXID00025,31/01/2025,28/02/2025,Bank Transfer,1393.75,31/01/2025
TPIN026,Location6,Income Tax,TXID00026,28/02/2025,31/03/2025,Bank Transfer,1409.5,28/02/2025
TPIN027,Location7,Sales Tax,TXID00027,31/03/2025,30/04/2025,Credit Card,1425.25,31/03/2025
TPIN028,Location8,Income Tax,TXID00028,30/04/2025,31/05/2025,Bank Transfer,1441,30/04/2025
TPIN029,Location9,Sales Tax,TXID00029,31/05/2025,30/06/2025,Bank Transfer,1456.75,31/05/2025
TPIN030,Location0,Income Tax,TXID00030,30/06/2025,31/07/2025,Credit Card,1472.5,30/06/2025
TPIN031,Location1,Sales Tax,TXID00031,31/07/2025,31/08/2025,Bank Transfer,1488.25,31/07/2025
TPIN032,Location2,Income Tax,TXID00032,31/08/2025,30/09/2025,Bank Transfer,1504,31/08/2025
TPIN033,Location3,Sales Tax,TXID00033,30/09/2025,31/10/2025,Credit Card,1519.75,30/09/2025
TPIN034,Location4,Income Tax,TXID00034,31/10/2025,30/11/2025,Bank Transfer,1535.5,31/10/2025
TPIN035,Location5,Sales Tax,TXID00035,30/11/2025,31/12/2025,Bank Transfer,1551.25,30/11/2025
TPIN036,Location6,Income Tax,TXID00036,31/12/2025,31/01/2026,Credit Card,1567,31/12/2025
TPIN037,Location7,Sales Tax,TXID00037,31/01/2026,28/02/2026,Bank Transfer,1582.75,31/01/2026
TPIN038,Location8,Income Tax,TXID00038,28/02/2026,31/03/2026,Bank Transfer,1598.5,28/02/2026
TPIN039,Location9,Sales Tax,TXID00039,31/03/2026,30/04/2026,Credit Card,1614.25,31/03/2026
TPIN040,Location0,Income Tax,TXID00040,30/04/2026,31/05/2026,Bank Transfer,1630,30/04/2026
TPIN041,Location1,Sales Tax,TXID00041,31/05/2026,30/06/2026,Bank Transfer,1645.75,31/05/2026
TPIN042,Location2,Income Tax,TXID00042,30/06/2026,31/07/2026,Credit Card,1661.5,30/06/2026
TPIN043,Location3,Sales Tax,TXID00043,31/07/2026,31/08/2026,Bank Transfer,1677.25,31/07/2026
TPIN044,Location4,Income Tax,TXID00044,31/08/2026,30/09/2026,Bank Transfer,1693,31/08/2026
TPIN045,Location5,Sales Tax,TXID00045,30/09/2026,31/10/2026,Credit Card,1708.75,30/09/2026
TPIN046,Location6,Income Tax,TXID00046,31/10/2026,30/11/2026,Bank Transfer,1724.5,31/10/2026
TPIN047,Location7,Sales Tax,TXID00047,30/11/2026,31/12/2026,Bank Transfer,1740.25,30/11/2026
TPIN048,Location8,Income Tax,TXID00048,31/12/2026,31/01/2027,Credit Card,1756,31/12/2026
TPIN049,Location9,Sales Tax,TXID00049,31/01/2027,28/02/2027,Bank Transfer,1771.75,31/01/2027
TPIN050,Location0,Income Tax,TXID00050,28/02/2027,31/03/2027,Bank Transfer,1787.5,28/02/2027
TPIN051,Location1,Sales Tax,TXID00051,31/03/2027,30/04/2027,Credit Card,1803.25,31/03/2027
TPIN052,Location2,Income Tax,TXID00052,30/04/2027,31/05/2027,Bank Transfer,1819,30/04/2027
TPIN053,Location3,Sales Tax,TXID00053,31/05/2027,30/06/2027,Bank Transfer,1834.75,31/05/2027
TPIN054,Location4,Income Tax,TXID00054,30/06/2027,31/07/2027,Credit Card,1850.5,30/06/2027
TPIN055,Location5,Sales Tax,TXID00055,31/07/2027,31/08/2027,Bank Transfer,1866.25,31/07/2027
TPIN056,Location6,Income Tax,TXID00056,31/08/2027,30/09/2027,Bank Transfer,1882,31/08/2027
TPIN057,Location7,Sales Tax,TXID00057,30/09/2027,31/10/2027,Credit Card,1897.75,30/09/2027
TPIN058,Location8,Income Tax,TXID00058,31/10/2027,30/11/2027,Bank Transfer,1913.5,31/10/2027
TPIN059,Location9,Sales Tax,TXID00059,30/11/2027,31/12/2027,Bank Transfer,1929.25,30/11/2027
TPIN060,Location0,Income Tax,TXID00060,31/12/2027,31/01/2028,Credit Card,1945,31/12/2027
TPIN061,Location1,Sales Tax,TXID00061,31/01/2028,29/02/2028,Bank Transfer,1960.75,31/01/2028
TPIN062,Location2,Income Tax,TXID00062,29/02/2028,31/03/2028,Bank Transfer,1976.5,29/02/2028
TPIN063,Location3,Sales Tax,TXID00063,31/03/2028,30/04/2028,Credit Card,1992.25,31/03/2028
TPIN064,Location4,Income Tax,TXID00064,30/04/2028,31/05/2028,Bank Transfer,2008,30/04/2028
TPIN065,Location5,Sales Tax,TXID00065,31/05/2028,30/06/2028,Bank Transfer,2023.75,31/05/2028
TPIN066,Location6,Income Tax,TXID00066,30/06/2028,31/07/2028,Credit Card,2039.5,30/06/2028
TPIN067,Location7,Sales Tax,TXID00067,31/07/2028,31/08/2028,Bank Transfer,2055.25,31/07/2028
TPIN068,Location8,Income Tax,TXID00068,31/08/2028,30/09/2028,Bank Transfer,2071,31/08/2028
TPIN069,Location9,Sales Tax,TXID00069,30/09/2028,31/10/2028,Credit Card,2086.75,30/09/2028
TPIN070,Location0,Income Tax,TXID00070,31/10/2028,30/11/2028,Bank Transfer,2102.5,31/10/2028
TPIN071,Location1,Sales Tax,TXID00071,30/11/2028,31/12/2028,Bank Transfer,2118.25,30/11/2028
TPIN072,Location2,Income Tax,TXID00072,31/12/2028,31/01/2029,Credit Card,2134,31/12/2028
TPIN073,Location3,Sales Tax,TXID00073,31/01/2029,28/02/2029,Bank Transfer,2149.75,31/01/2029
TPIN074,Location4,Income Tax,TXID00074,28/02/2029,31/03/2029,Bank Transfer,2165.5,28/02/2029
TPIN075,Location5,Sales Tax,TXID00075,31/03/2029,30/04/2029,Credit Card,2181.25,31/03/2029
TPIN076,Location6,Income Tax,TXID00076,30/04/2029,31/05/2029,Bank Transfer,2197,30/04/2029
TPIN077,Location7,Sales Tax,TXID00077,31/05/2029,30/06/2029,Bank Transfer,2212.75,31/05/2029
TPIN078,Location8,Income Tax,TXID00078,30/06/2029,31/07/2029,Credit Card,2228.5,30/06/2029
TPIN079,Location9,Sales Tax,TXID00079,31/07/2029,31/08/2029,Bank Transfer,2244.25,31/07/2029
TPIN080,Location0,Income Tax,TXID00080,31/08/2029,30/09/2029,Bank Transfer,2260,31/08/2029
TPIN081,Location1,Sales Tax,TXID00081,30/09/2029,31/10/2029,Credit Card,2275.75,30/09/2029
TPIN082,Location2,Income Tax,TXID00082,31/10/2029,30/11/2029,Bank Transfer,2291.5,31/10/2029
TPIN083,Location3,Sales Tax,TXID00083,30/11/2029,31/12/2029,Bank Transfer,2307.25,30/11/2029
TPIN084,Location4,Income Tax,TXID00084,31/12/2029,31/01/2030,Credit Card,2323,31/12/2029
TPIN085,Location5,Sales Tax,TXID00085,31/01/2030,28/02/2030,Bank Transfer,2338.75,31/01/2030
TPIN086,Location6,Income Tax,TXID00086,28/02/2030,31/03/2030,Bank Transfer,2354.5,28/02/2030
TPIN087,Location7,Sales Tax,TXID00087,31/03/2030,30/04/2030,Credit Card,2370.25,31/03/2030
TPIN088,Location8,Income Tax,TXID00088,30/04/2030,31/05/2030,Bank Transfer,2386,30/04/2030
TPIN089,Location9,Sales Tax,TXID00089,31/05/2030,30/06/2030,Bank Transfer,2401.75,31/05/2030
TPIN090,Location0,Income Tax,TXID00090,30/06/2030,31/07/2030,Credit Card,2417.5,30/06/2030
TPIN091,Location1,Sales Tax,TXID00091,31/07/2030,31/08/2030,Bank Transfer,2433.25,31/07/2030
TPIN092,Location2,Income Tax,TXID00092,31/08/2030,30/09/2030,Bank Transfer,2449,31/08/2030
TPIN093,Location3,Sales Tax,TXID00093,30/09/2030,31/10/2030,Credit Card,2464.75,30/09/2030
TPIN094,Location4,Income Tax,TXID00094,31/10/2030,30/11/2030,Bank Transfer,2480.5,31/10/2030
TPIN095,Location5,Sales Tax,TXID00095,30/11/2030,31/12/2030,Bank Transfer,2496.25,30/11/2030
TPIN096,Location6,Income Tax,TXID00096,31/12/2030,31/01/2031,Credit Card,2512,31/12/2030
