TPIN,Transaction ID,Period From,Period To,Payment Method,Payment Amount,Payment Date,LOCATION_Location0,LOCATION_Location1,LOCATION_Location2,LOCATION_Location3,LOCATION_Location4,LOCATION_Location5,LOCATION_Location6,LOCATION_Location7,LOCATION_Location8,LOCATION_Location9,TAX_TYPE_Income Tax,TAX_TYPE_Sales Tax
TPIN001,TXID00001,2023-01-31,2023-02-28,Bank Transfer,1015.75,2023-01-31,False,True,False,False,False,False,False,False,False,False,False,True
TPIN002,TXID00002,2023-02-28,2023-03-31,Bank Transfer,1031.5,2023-02-28,False,False,True,False,False,False,False,False,False,False,True,False
TPIN003,TXID00003,2023-03-31,2023-04-30,Credit Card,1047.25,2023-03-31,False,False,False,True,False,False,False,False,False,False,False,True
TPIN004,TXID00004,2023-04-30,2023-05-31,Bank Transfer,1063.0,2023-04-30,False,False,False,False,True,False,False,False,False,False,True,False
TPIN005,TXID00005,2023-05-31,2023-06-30,Bank Transfer,1078.75,2023-05-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN006,TXID00006,2023-06-30,2023-07-31,Credit Card,1094.5,2023-06-30,False,False,False,False,False,False,True,False,False,False,True,False
TPIN007,TXID00007,2023-07-31,2023-08-31,Bank Transfer,1110.25,2023-07-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN008,TXID00008,2023-08-31,2023-09-30,Bank Transfer,1126.0,2023-08-31,False,False,False,False,False,False,False,False,True,False,True,False
TPIN009,TXID00009,2023-09-30,2023-10-31,Credit Card,1141.75,2023-09-30,False,False,False,False,False,False,False,False,False,True,False,True
TPIN010,TXID00010,2023-10-31,2023-11-30,Bank Transfer,1157.5,2023-10-31,True,False,False,False,False,False,False,False,False,False,True,False
TPIN011,TXID00011,2023-11-30,2023-12-31,Bank Transfer,1173.25,2023-11-30,False,True,False,False,False,False,False,False,False,False,False,True
TPIN012,TXID00012,2023-12-31,2024-01-31,Credit Card,1189.0,2023-12-31,False,False,True,False,False,False,False,False,False,False,True,False
TPIN013,TXID00013,2024-01-31,2024-02-29,Bank Transfer,1204.75,2024-01-31,False,False,False,True,False,False,False,False,False,False,False,True
TPIN014,TXID00014,2024-02-29,2024-03-31,Bank Transfer,1220.5,2024-02-29,False,False,False,False,True,False,False,False,False,False,True,False
TPIN015,TXID00015,2024-03-31,2024-04-30,Credit Card,1236.25,2024-03-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN016,TXID00016,2024-04-30,2024-05-31,Bank Transfer,1252.0,2024-04-30,False,False,False,False,False,False,True,False,False,False,True,False
TPIN017,TXID00017,2024-05-31,2024-06-30,Bank Transfer,1267.75,2024-05-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN018,TXID00018,2024-06-30,2024-07-31,Credit Card,1283.5,2024-06-30,False,False,False,False,False,False,False,False,True,False,True,False
TPIN019,TXID00019,2024-07-31,2024-08-31,Bank Transfer,1299.25,2024-07-31,False,False,False,False,False,False,False,False,False,True,False,True
