TPIN,LOCATION,TAX TYPE,Transaction ID,Period From,Period To,Payment Method,Payment Amount,Payment Date
200246,Lusaka,Turnover Tax,475519682961,01/01/2017,31/01/2017,CASH,400,03/02/2017
200405,Lusaka,Withholding Tax,475519683236,01/01/2017,31/01/2017,CASH,806,03/02/2017
200685,Muchinga,Turnover Tax,475519683293,01/01/2017,31/01/2017,CASH,21,03/02/2017
200671,chipata,Withholding Tax,475519691246,01/01/2017,31/01/2017,CASH,50,06/02/2017
200275,chipata,Turnover Tax,475519691417,01/01/2017,31/01/2017,CASH,340.2,06/02/2017
200260,chipata,Turnover Tax,475519691448,01/01/2017,31/01/2017,CASH,692,06/02/2017
200379,Lusaka,Turnover Tax,475519693488,01/01/2017,31/01/2017,CASH,239.1,06/02/2017
200369,Kitwe,Turnover Tax,475519694601,01/01/2017,31/01/2017,CASH,451,06/02/2017
200156,chipata,Turnover Tax,475519694886,01/01/2015,31/01/2015,CASH,200,06/02/2017
200156,chipata,Turnover Tax,475519694886,01/02/2015,28/02/2015,CASH,1000,06/02/2017
200332,Kitwe,Turnover Tax,475519696160,01/12/2016,31/12/2016,CASH,1165.5,06/02/2017
200211,Ndola,Turnover Tax,475519705806,01/01/2017,31/01/2017,CASH,60,06/02/2017
200171,Lusaka,Presumptive Tax,475519008722,01/01/2017,31/03/2017,CASH,293.7,03/01/2017
200235,Kasama,Turnover Tax,475519054608,01/12/2016,31/12/2016,CASH,45,05/01/2017
200283,Lusaka,Presumptive Tax,475519054676,01/07/2016,30/09/2016,CASH,297,05/01/2017
200283,Lusaka,Presumptive Tax,475519054676,01/10/2016,31/12/2016,CASH,297,05/01/2017
200283,Lusaka,Presumptive Tax,475519054676,01/01/2017,31/03/2017,CASH,293.7,05/01/2017
200048,Lusaka,Withholding Tax,475519118178,01/01/2017,31/01/2017,CASH,200,06/01/2017
200435,kabwe,Turnover Tax,475519118307,01/12/2016,31/12/2016,CASH,50,06/01/2017
200466,Mongu Province,Employment Tax (Pay as You Earn),475519235349,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,668.73,11/01/2017
200155,Ndola,Withholding Tax,475519235748,01/12/2016,31/12/2016,CASH,150,11/01/2017
200692,Chingola,Presumptive Tax,475519449840,01/01/2017,31/03/2017,CASH,142.4,17/01/2017
200776,kabwe,Turnover Tax,475519246518,01/12/2016,31/12/2016,CASH,90,11/01/2017
200506,Mongu Province,Value Added Tax,475519512566,01/12/2016,31/12/2016,CASH,81,20/01/2017
200197,Ndola,Withholding Tax,475519513047,01/01/2017,31/01/2017,CASH,300,20/01/2017
200588,Lusaka,Turnover Tax,475519514114,01/12/2016,31/12/2016,CASH,500,20/01/2017
200800,Ndola,Presumptive Tax,475519515476,01/10/2017,31/12/2017,CASH,900,20/01/2017
200642,Lusaka,Turnover Tax,475519518536,01/12/2016,31/12/2016,CASH,100,20/01/2017
200156,Ndola,Value Added Tax,475519518546,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,19200,20/01/2017
200411,Kitwe,Employment Tax (Pay as You Earn),475519524024,01/12/2016,31/12/2016,electronic transfer,565690.99,19/01/2017
200784,Ndola,Withholding Tax,475519244846,01/12/2016,31/12/2016,CASH,343.5,11/01/2017
200323,Kitwe,Turnover Tax,475519250723,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,120.15,11/01/2017
200334,Lusaka,Withholding Tax,475519251054,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,667,11/01/2017
200402,Lusaka,Withholding Tax,475519251650,01/12/2016,31/12/2016,CASH,200,11/01/2017
200341,Lusaka,Employment Tax (Pay as You Earn),475519251800,01/12/2016,31/12/2016,CASH,273.3,11/01/2017
200538,Lusaka,Income Tax,475519254311,01/01/2015,31/12/2015,CASH,3000,11/01/2017
200183,Livingstone,Turnover Tax,475519259463,01/12/2016,31/12/2016,CASH,150,11/01/2017
200207,choma,Turnover Tax,475519259510,01/12/2016,31/12/2016,CASH,75,11/01/2017
200061,Lusaka,Turnover Tax,475519302911,01/12/2016,31/12/2016,CASH,170,12/01/2017
200680,Lusaka,Turnover Tax,475519304501,01/11/2016,30/11/2016,COMPANY LOCAL CHEQUE,600,12/01/2017
200795,Lusaka,Property Transfer Tax,475519323462,01/01/2017,31/01/2017,CASH,5000,13/01/2017
200040,Lusaka,Turnover Tax,475519324068,01/12/2016,31/12/2016,CASH,1569.63,13/01/2017
200040,Lusaka,Withholding Tax,475519324068,01/12/2016,31/12/2016,CASH,72,13/01/2017
200100,Chingola,Turnover Tax,475519324871,01/12/2016,31/12/2016,CASH,32.4,13/01/2017
200091,Kitwe,Turnover Tax,475519326626,01/12/2016,31/12/2016,CASH,70,13/01/2017
200336,Lusaka,Withholding Tax,475519343361,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,12730,13/01/2017
200633,Lusaka,Turnover Tax,475519348829,01/12/2016,31/12/2016,CASH,729.2,13/01/2017
200755,Lusaka,Turnover Tax,475519349192,01/12/2016,31/12/2016,CASH,73,13/01/2017
200653,chipata,Turnover Tax,475519349963,01/12/2016,31/12/2016,CASH,100,13/01/2017
200349,Kitwe,Employment Tax (Pay as You Earn),475519350212,01/12/2016,31/12/2016,CASH,384.88,13/01/2017
200522,Lusaka,Withholding Tax,475519350341,01/12/2016,31/12/2016,CASH,413,13/01/2017
200522,Lusaka,Turnover Tax,475519350341,01/12/2016,31/12/2016,CASH,500,13/01/2017
200433,Chingola,Turnover Tax,475519593471,01/09/2016,30/09/2016,CASH,150,27/01/2017
200433,Chingola,Turnover Tax,475519593471,01/10/2016,31/10/2016,CASH,150,27/01/2017
200433,Chingola,Turnover Tax,475519593471,01/11/2016,30/11/2016,CASH,150,27/01/2017
200433,Chingola,Turnover Tax,475519593471,01/12/2016,31/12/2016,CASH,120,27/01/2017
200120,Lusaka,Turnover Tax,475519597940,01/12/2016,31/12/2016,CASH,97.5,27/01/2017
200705,Lusaka,Value Added Tax,475519597976,01/01/2017,31/01/2017,electronic transfer,53.76,23/01/2017
200413,Muchinga,Turnover Tax,475519603521,01/01/2017,31/01/2017,CASH,929,30/01/2017
200667,Lusaka,Withholding Tax,475519603703,01/01/2017,31/01/2017,COMPANY LOCAL CHEQUE,1200,30/01/2017
200039,Kitwe,Withholding Tax,475519603770,01/01/2017,31/01/2017,CASH,99,30/01/2017
200772,Lusaka,Presumptive Tax,475519604381,01/10/2016,31/12/2016,CASH,297,30/01/2017
200772,Lusaka,Presumptive Tax,475519604381,01/07/2016,30/09/2016,CASH,297,30/01/2017
200535,Mongu Province,Turnover Tax,475519613789,01/08/2016,31/08/2016,CASH,87.15,31/01/2017
200535,Mongu Province,Turnover Tax,475519613789,01/06/2016,30/06/2016,CASH,130.98,31/01/2017
200535,Mongu Province,Turnover Tax,475519613789,01/10/2016,31/10/2016,CASH,21.19,31/01/2017
200535,Mongu Province,Turnover Tax,475519613789,01/09/2016,30/09/2016,CASH,43.73,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/05/2015,31/05/2015,CASH,684,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/06/2015,30/06/2015,CASH,684,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/07/2015,31/07/2015,CASH,84,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/09/2015,30/09/2015,CASH,684,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/10/2015,31/10/2015,CASH,684,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/12/2015,31/12/2015,CASH,684,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/08/2015,31/08/2015,CASH,684,31/01/2017
200138,chipata,Turnover Tax,475519614726,01/11/2015,30/11/2015,CASH,684,31/01/2017
200184,Kitwe,Turnover Tax,475519615197,01/02/2014,28/02/2014,CASH,1200,31/01/2017
200745,Lusaka,Turnover Tax,475519616891,01/01/2017,31/01/2017,CASH,30,31/01/2017
200365,Ndola,Turnover Tax,475519617051,01/06/2016,30/06/2016,CASH,4200,31/01/2017
200365,Ndola,Turnover Tax,475519617051,01/07/2016,31/07/2016,CASH,3600,31/01/2017
200365,Ndola,Turnover Tax,475519617051,01/12/2016,31/12/2016,CASH,300,31/01/2017
200475,Lusaka,Presumptive Tax,475519618403,01/07/2016,30/09/2016,CASH,297,31/01/2017
200475,Lusaka,Presumptive Tax,475519618403,01/01/2017,31/03/2017,CASH,293.7,31/01/2017
200475,Lusaka,Presumptive Tax,475519618403,01/04/2017,30/06/2017,CASH,297,31/01/2017
200475,Lusaka,Presumptive Tax,475519618403,01/07/2017,30/09/2017,CASH,297,31/01/2017
200475,Lusaka,Presumptive Tax,475519618403,01/10/2017,31/12/2017,CASH,297,31/01/2017
200102,Livingstone,Turnover Tax,475519256015,01/12/2016,31/12/2016,CASH,57,11/01/2017
200318,Chingola,Turnover Tax,475519439106,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,315,16/01/2017
200317,choma,Withholding Tax,475519440743,01/12/2016,31/12/2016,COMPANY COUNTRY CHEQUE,387.5,16/01/2017
200689,choma,Withholding Tax,475519441032,01/12/2016,31/12/2016,CASH,200,16/01/2017
200337,Kitwe,Income Tax,475519442736,01/10/2016,31/12/2016,COMPANY LOCAL CHEQUE,50000,16/01/2017
200337,Kitwe,Withholding Tax,475519442876,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,25041.5,16/01/2017
200414,Kitwe,Employment Tax (Pay as You Earn),475519443218,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,8859.89,16/01/2017
